Timestamp,Activity_Count,mod7,Hour,Minute,DayOfWeek,Weekend
2025-04-05 15:40:00,7,2,15,40,5,True
2025-04-05 15:50:00,3,3,15,50,5,True
2025-04-05 16:00:00,14,4,16,0,5,True
2025-04-05 16:10:00,0,5,16,10,5,True
2025-04-05 16:20:00,2,6,16,20,5,True
2025-04-05 16:50:00,0,2,16,50,5,True
2025-04-05 17:00:00,1,3,17,0,5,True
2025-04-05 17:10:00,6,4,17,10,5,True
2025-04-05 17:20:00,4,5,17,20,5,True
2025-04-05 17:30:00,9,6,17,30,5,True
2025-04-05 18:00:00,2,2,18,0,5,True
2025-04-05 18:10:00,4,3,18,10,5,True
2025-04-05 18:20:00,8,4,18,20,5,True
2025-04-05 18:30:00,132,5,18,30,5,True
2025-04-05 18:40:00,201,6,18,40,5,True
2025-04-05 19:10:00,0,2,19,10,5,True
2025-04-05 19:20:00,0,3,19,20,5,True
2025-04-05 19:30:00,0,4,19,30,5,True
2025-04-05 19:40:00,0,5,19,40,5,True
2025-04-05 19:50:00,0,6,19,50,5,True
2025-04-05 20:20:00,0,2,20,20,5,True
2025-04-05 20:30:00,0,3,20,30,5,True
2025-04-05 20:40:00,0,4,20,40,5,True
2025-04-05 20:50:00,0,5,20,50,5,True
2025-04-05 21:00:00,0,6,21,0,5,True
2025-04-05 21:30:00,0,2,21,30,5,True
2025-04-05 21:40:00,0,3,21,40,5,True
2025-04-05 21:50:00,0,4,21,50,5,True
2025-04-05 22:00:00,0,5,22,0,5,True
2025-04-05 22:10:00,0,6,22,10,5,True
2025-04-05 22:40:00,0,2,22,40,5,True
2025-04-05 22:50:00,0,3,22,50,5,True
2025-04-05 23:00:00,0,4,23,0,5,True
2025-04-05 23:10:00,0,5,23,10,5,True
2025-04-05 23:20:00,0,6,23,20,5,True
2025-04-05 23:50:00,1,2,23,50,5,True
2025-04-06 00:00:00,96,3,0,0,6,True
2025-04-06 00:10:00,0,4,0,10,6,True
2025-04-06 00:20:00,0,5,0,20,6,True
2025-04-06 00:30:00,0,6,0,30,6,True
2025-04-06 01:00:00,0,2,1,0,6,True
2025-04-06 01:10:00,0,3,1,10,6,True
2025-04-06 01:20:00,0,4,1,20,6,True
2025-04-06 01:30:00,0,5,1,30,6,True
2025-04-06 01:40:00,0,6,1,40,6,True
2025-04-06 02:10:00,0,2,2,10,6,True
2025-04-06 02:20:00,0,3,2,20,6,True
2025-04-06 02:30:00,0,4,2,30,6,True
2025-04-06 02:40:00,0,5,2,40,6,True
2025-04-06 02:50:00,0,6,2,50,6,True
2025-04-06 03:20:00,0,2,3,20,6,True
2025-04-06 03:30:00,0,3,3,30,6,True
2025-04-06 03:40:00,0,4,3,40,6,True
2025-04-06 03:50:00,0,5,3,50,6,True
